ranker,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0.0,Lucas Perri,br BRA,GK,Leeds United,28-041,1997,16.0,16.0,"1,440",16.0,29.0,1.81,66.0,37.0,62.1,4.0,6.0,6.0,3.0,18.8,4.0,4.0,0.0,0.0,0.0,Matches,1.0,3.0,0.0,25.0,0.36,-4.0,-0.25,87.0,344.0,25.3,547.0,72.0,49.7,39.9,84.0,85.7,60.7,226.0,9.0,4.0,7.0,0.44,10.5
0.0,Đorđe Petrović,rs SRB,GK,Bournemouth,26-104,1999,22.0,22.0,"1,980",22.0,41.0,1.86,101.0,61.0,62.4,6.0,9.0,7.0,5.0,22.7,3.0,3.0,0.0,0.0,0.0,Matches,2.0,8.0,1.0,33.5,0.32,-5.5,-0.26,80.0,252.0,31.7,467.0,101.0,35.5,33.2,136.0,63.2,48.6,274.0,22.0,8.0,35.0,1.67,13.8
0.0,Jordan Pickford,eng ENG,GK,Everton,31-319,1994,22.0,22.0,"1,980",22.0,25.0,1.14,87.0,61.0,73.6,9.0,5.0,8.0,9.0,40.9,3.0,2.0,1.0,0.0,33.3,Matches,0.0,5.0,0.0,27.6,0.31,+2.6,+0.12,173.0,465.0,37.2,743.0,77.0,51.0,39.8,114.0,75.4,53.6,311.0,9.0,2.9,43.0,2.05,16.8
0.0,Nick Pope,eng ENG,GK,Newcastle United,33-276,1992,16.0,16.0,"1,426",15.8,17.0,1.07,63.0,47.0,74.6,7.0,4.0,5.0,7.0,43.8,1.0,1.0,0.0,0.0,0.0,Matches,0.0,3.0,1.0,16.0,0.27,0.0,0.0,42.0,171.0,24.6,326.0,100.0,31.3,32.5,101.0,68.3,49.3,175.0,25.0,14.3,39.0,2.63,16.8
0.0,Aaron Ramsdale,eng ENG,GK,Newcastle United,27-251,1998,7.0,6.0,554.0,6.2,10.0,1.62,19.0,10.0,57.9,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,1.0,1.0,1.0,7.6,0.33,-1.4,-0.23,19.0,68.0,27.9,183.0,34.0,26.8,31.6,37.0,51.4,47.7,91.0,6.0,6.6,9.0,1.46,15.1
0.0,David Raya,es ESP,GK,Arsenal,30-127,1995,22.0,22.0,"1,980",22.0,14.0,0.64,46.0,32.0,69.6,15.0,5.0,2.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,2.0,0.0,12.1,0.27,-1.9,-0.09,94.0,292.0,32.2,666.0,97.0,36.6,33.6,72.0,66.7,51.1,191.0,20.0,10.5,38.0,1.81,18.4
0.0,Robin Roefs,nl NED,GK,Sunderland,23-003,2003,22.0,22.0,"1,980",22.0,23.0,1.05,95.0,72.0,75.8,8.0,9.0,5.0,7.0,31.8,1.0,0.0,1.0,0.0,100.0,Matches,0.0,4.0,1.0,25.0,0.27,+4.0,+0.19,98.0,391.0,25.1,781.0,86.0,37.6,35.4,112.0,86.6,63.1,372.0,38.0,10.2,24.0,1.14,12.3
0.0,José Sá,pt POR,GK,Wolves,33-003,1993,10.0,10.0,900.0,10.0,17.0,1.7,36.0,19.0,52.8,1.0,3.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,1.0,0.0,12.0,0.35,-5.0,-0.56,57.0,163.0,35.0,237.0,32.0,46.8,38.2,64.0,81.3,58.0,138.0,12.0,8.7,6.0,0.67,10.8
0.0,Robert Sánchez,es ESP,GK,Chelsea,28-063,1997,21.0,21.0,"1,804",20.0,21.0,1.05,74.0,52.0,71.6,9.0,6.0,6.0,9.0,42.9,0.0,0.0,0.0,0.0,0.0,Matches,0.0,3.0,0.0,21.9,0.34,+0.9,+0.05,96.0,329.0,29.2,726.0,94.0,36.4,33.8,86.0,75.6,57.9,226.0,29.0,12.8,21.0,1.1,13.4
0.0,Matz Sels,be BEL,GK,Nottingham Forest,33-328,1992,18.0,17.0,"1,543",17.1,26.0,1.52,77.0,53.0,70.1,5.0,4.0,8.0,3.0,17.6,3.0,3.0,0.0,0.0,0.0,Matches,1.0,6.0,2.0,23.8,0.29,-0.2,-0.01,71.0,243.0,29.2,384.0,60.0,51.3,38.8,103.0,44.7,39.0,223.0,10.0,4.5,19.0,1.18,15.6
0.0,James Trafford,eng ENG,GK,Manchester City,23-102,2002,3.0,3.0,270.0,3.0,4.0,1.33,15.0,11.0,80.0,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,5.9,0.34,+1.9,+0.62,10.0,36.0,27.8,103.0,11.0,27.2,29.6,15.0,53.3,44.9,26.0,2.0,7.7,14.0,4.67,18.1
0.0,Bart Verbruggen,nl NED,GK,Brighton,23-155,2002,22.0,22.0,"1,980",22.0,29.0,1.32,86.0,60.0,72.1,7.0,9.0,6.0,5.0,22.7,6.0,5.0,1.0,0.0,16.7,Matches,0.0,3.0,3.0,29.1,0.3,+4.1,+0.19,56.0,218.0,25.7,869.0,89.0,21.5,28.3,55.0,56.4,43.1,264.0,11.0,4.2,26.0,1.24,14.4
0.0,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,29-105,1996,22.0,22.0,"1,980",22.0,29.0,1.32,86.0,57.0,67.4,7.0,6.0,9.0,7.0,31.8,1.0,1.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,27.2,0.33,+0.2,+0.01,89.0,298.0,29.9,746.0,98.0,32.4,32.3,92.0,60.9,44.1,290.0,16.0,5.5,41.0,1.95,15.8
